Layer	Row	Module	Channel	Pedestal
         0         4         2        13   113.862   2.84439
         0         4         2        14   102.194   2.72102
         0         4         2        15   130.281   3.09207
         0         4         2        16   150.764   2.70844
         0         4         2        17   124.229   2.75846
         0         4         2        18   90.6398    2.1962
         0         4         2        19   156.414   2.44774
         0         4         2        20    146.37   2.42351
         0         4         2        21   188.291   2.50687
         0         4         2        22   139.066   2.36509
         0         4         2        23   143.226   2.54095
         0         4         2        24   163.083   2.80333
         0         4         2        25   120.755   2.79513
         0         4         2        26   136.732    2.3849
         0         4         2        27   189.612    2.4448
         0         4         2        28   137.561   2.33896
         0         4         2        29   191.146   2.62967
         0         4         2        30   124.055   2.67503
         0         4         2        31    174.17   2.50163
         0         4         3         0   88.7517   2.35386
         0         4         3         1   147.397   2.22419
         0         4         3         2   96.6948   2.47728
         0         4         3         3    115.86   2.58936
         0         4         3         4   107.399   2.64727
         0         4         3         5   102.805   2.62147
         0         4         3         6   94.3278   2.46596
         0         4         3         7   76.7612   2.12576
         0         4         3         8   87.6141   2.22526
         0         4         3         9    110.39   2.48296
         0         4         3        10   140.379   2.48639
         0         4         3        11   92.4929   2.29071
         0         4         3        12   113.036   2.50226
         0         4         3        13   125.939   2.91122
         0         4         3        14   109.424   2.78877
         0         4         3        15   109.999   3.02081
         0         4         3        16   56.8853   1.84258
         0         4         3        17   122.319   2.51182
         0         4         3        18   120.724   2.40532
         0         4         3        19   116.007   2.52893
         0         4         3        20   100.863   2.33633
         0         4         3        21    138.69   3.25148
         0         4         3        22   94.0963   2.78155
         0         4         3        23   113.607   2.43803
         0         4         3        24   93.9994   2.35181
         0         4         3        25   68.1819   2.11126
         0         4         3        26   112.114   3.15279
         0         4         3        27   139.748   2.41891
         0         4         3        28   124.535   2.87597
         0         4         3        29   149.756   2.41707
         0         4         3        30   132.438   2.54054
         0         4         3        31   102.788   2.35981
         0         4         4         0   108.312   2.53643
         0         4         4         1   111.526   2.77478
         0         4         4         2   149.524   2.81409
         0         4         4         3   134.426   2.58008
         0         4         4         4   155.692   2.78714
         0         4         4         5    122.38    2.8277
         0         4         4         6   123.424   3.05333
         0         4         4         7   128.592   2.79195
         0         4         4         8   117.243   2.46505
         0         4         4         9   87.1028   2.35074
         0         4         4        10   126.689   2.60952
         0         4         4        11    107.53   2.33122
         0         4         4        12   99.0411   2.47154
         0         4         4        13   156.593   2.86801
         0         4         4        14   153.561   2.74949
         0         4         4        15   95.0761   2.88683
         0         4         4        16   138.544   2.32448
         0         4         4        17   112.716   2.35871
         0         4         4        18   103.452   2.43342
         0         4         4        19   108.986   2.40027
         0         4         4        20   110.482   2.45545
         0         4         4        21   132.029    2.3918
         0         4         4        22   119.457   2.56986
         0         4         4        23   134.006   2.44258
         0         4         4        24   136.306   2.42991
         0         4         4        25   95.8534    2.4626
         0         4         4        26   97.6747   2.43867
         0         4         4        27   110.295   2.49495
         0         4         4        28    87.513   2.22377
         0         4         4        29   147.908   2.32564
         0         4         4        30   126.817   2.58537
         0         4         4        31   154.252   2.48732
         0         4         5         0   154.591   2.73225
         0         4         5         1   148.082   2.60702
